timestamp,benchmark,concurrency,ops,failures,wall_time_ms,throughput_ops_s,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,payload_bytes,iters_per_worker
1771602451.36605413,fs_baseline,1,200,0,596.225,335.443670,2.979350,2.887901,3.211273,3.384546,3.464024,4096,200
1771602451.36605413,fs_baseline,2,400,0,1175.479,340.286909,5.868722,5.794797,6.483329,6.512523,6.562757,4096,200
1771602451.36605413,fs_baseline,4,800,0,1158.934,690.289683,5.786127,5.626202,6.564811,6.781665,6.898252,4096,200
1771602451.36605413,fs_baseline,8,1600,0,1172.483,1364.625425,5.855323,5.805907,6.571934,7.022684,8.840862,4096,200
1771602451.36605413,fs_baseline,16,3200,0,1200.200,2666.222505,5.996233,5.862673,6.800580,7.109425,7.422369,4096,200
1771602451.36605413,fs_baseline,32,6400,0,1234.323,5185.027798,6.168141,6.187017,6.734136,7.031800,7.618033,4096,200
1771602451.36605413,fs_baseline,64,12800,0,1248.895,10249.061014,6.182477,6.134679,7.084589,7.643831,19.343498,4096,200
1771602451.36605413,fs_baseline,128,25600,0,1314.301,19478.027455,6.498980,6.449285,7.421307,8.135307,23.322132,4096,200
