timestamp,benchmark,mode,payload_bytes,chunk_bytes,concurrency,rounds,success_rounds,failures,total_bytes,wall_time_ms,throughput_bytes_s_mean,throughput_mib_s_mean,throughput_bytes_s_p50,throughput_bytes_s_p95,cpu_user_ms,cpu_system_ms,cpu_total_ms,cpu_ms_per_mib,wire_tx_bytes,wire_rx_bytes,wire_tx_packets,wire_rx_packets,wire_bytes_per_app_byte,overhead_vs_single_pct
1771920560.83665061,tls_upload,single_tls,65536,1048576,1,200,200,0,13107200,95.816,252799802.053391,241.088678,266745900.271484,273128120.493778,80.643000,18.457000,99.100000,7.928000,13477446,13477446,3564,3564,2.056495,NaN
1771920560.83665061,tls_upload,single_tls,1048576,1048576,1,200,200,0,209715200,106.165,2001438830.791222,1908.720809,2073595950.007910,2163613891.519702,83.027000,47.675000,130.702000,0.653510,210786188,210786188,11969,11969,2.010214,NaN
1771920560.83665061,tls_upload,single_tls,16777216,1048576,1,200,200,0,3355443200,927.168,3742864810.160057,3569.474039,3566140024.618527,4869034044.490853,803.133000,485.986000,1289.119000,0.402850,3366992038,3366992038,130510,130510,2.006884,NaN
1771920560.83665061,tls_upload,nested_tls,65536,1048576,1,200,200,0,13107200,66.757,199589952.687397,190.343812,202846964.074025,213841485.300356,52.356000,17.832000,70.188000,5.615040,13720009,13720009,4321,4321,2.093507,21.048216
1771920560.83665061,tls_upload,nested_tls,1048576,1048576,1,200,200,0,209715200,266.661,1183668898.668024,1128.834628,1158965108.670663,1605721067.340454,157.207000,38.520000,195.727000,0.978635,211339408,211339408,12354,12354,2.015490,40.859102
1771920560.83665061,tls_upload,nested_tls,16777216,1048576,1,200,200,0,3355443200,1318.527,2965130121.816677,2827.768442,3099720018.165378,3505170043.581633,1352.718000,430.199000,1782.917000,0.557162,3372010539,3372010539,112420,112420,2.009875,20.779128
