timestamp,benchmark,mode,payload_bytes,chunk_bytes,concurrency,rounds,success_rounds,failures,total_bytes,wall_time_ms,throughput_bytes_s_mean,throughput_mib_s_mean,throughput_bytes_s_p50,throughput_bytes_s_p95,cpu_user_ms,cpu_system_ms,cpu_total_ms,cpu_ms_per_mib,wire_tx_bytes,wire_rx_bytes,wire_tx_packets,wire_rx_packets,wire_bytes_per_app_byte,overhead_vs_single_pct
1771918333.570917724,tls_upload,single_tls,65536,16384,16,200,200,0,209715200,7091.772,131226278.635956,125.147132,24475642.980007,660413400.791179,1973.584000,2274.423000,4248.007000,21.240035,216013232,216013232,55757,55757,2.060063,NaN
1771918333.570917724,tls_upload,single_tls,1048576,16384,16,200,200,0,3355443200,1680.309,3408582726.424215,3250.677802,3542749050.869268,4941608651.547586,2670.874000,8902.885000,11573.759000,3.616800,3372714776,3372714776,188201,188201,2.010295,NaN
1771918333.570917724,tls_upload,single_tls,16777216,16384,16,200,200,0,53687091200,7016.863,9652794569.750248,9205.622263,11501196604.853045,14513725256.326166,25350.902000,33678.576000,59029.478000,1.152919,53861924216,53861924216,1872578,1872578,2.006513,NaN
1771918333.570917724,tls_upload,nested_tls,65536,16384,16,200,200,0,209715200,8422.857,41587001.050159,39.660455,24109304.514567,24859187.709465,3204.879000,2895.812000,6100.691000,30.503455,220567197,220567197,69831,69831,2.103493,68.308938
1771918333.570917724,tls_upload,nested_tls,1048576,16384,16,200,200,0,3355443200,1878.076,3002968348.308592,2863.853787,3122291107.233137,4252242936.126187,5653.461000,8458.567000,14112.028000,4.410009,3385657976,3385657976,203659,203659,2.018009,11.899796
1771918333.570917724,tls_upload,nested_tls,16777216,16384,16,200,200,0,53687091200,6143.744,9139865027.315311,8716.454532,9244097834.267229,10664220311.488380,57359.968000,33046.077000,90406.045000,1.765743,54014226841,54014226841,2023002,2023002,2.012187,5.313793
