timestamp,benchmark,mode,payload_bytes,chunk_bytes,concurrency,rounds,success_rounds,failures,total_bytes,wall_time_ms,throughput_bytes_s_mean,throughput_mib_s_mean,throughput_bytes_s_p50,throughput_bytes_s_p95,cpu_user_ms,cpu_system_ms,cpu_total_ms,cpu_ms_per_mib,wire_tx_bytes,wire_rx_bytes,wire_tx_packets,wire_rx_packets,wire_bytes_per_app_byte,overhead_vs_single_pct
1771918198.10039405,tls_upload,single_tls,65536,16384,1,200,200,0,13107200,904.596,127987075.234020,122.057986,110213629.720817,259024311.195956,96.482000,41.961000,138.443000,11.075440,13472453,13472453,3468,3468,2.055733,NaN
1771918198.10039405,tls_upload,single_tls,1048576,16384,1,200,200,0,209715200,530.909,1519725512.732947,1449.323189,1788335135.467014,2166072081.488811,115.231000,57.014000,172.245000,0.861225,210777660,210777660,11805,11805,2.010132,NaN
1771918198.10039405,tls_upload,single_tls,16777216,16384,1,200,200,0,3355443200,1733.459,3195876035.108015,3047.824893,3520694753.797966,4060830589.760458,950.140000,547.908000,1498.048000,0.468140,3367105506,3367105506,131549,131549,2.006951,NaN
1771918198.10039405,tls_upload,nested_tls,65536,16384,1,200,200,0,13107200,1571.355,71516820.740547,68.203755,72012438.671963,148371526.504295,131.465000,43.951000,175.416000,14.033280,13733936,13733936,4335,4335,2.095632,44.121842
1771918198.10039405,tls_upload,nested_tls,1048576,16384,1,200,200,0,209715200,332.212,899587137.705894,857.913149,895690575.643424,1289548832.049822,215.729000,54.428000,270.157000,1.350785,211561476,211561476,12563,12563,2.017607,40.805946
1771918198.10039405,tls_upload,nested_tls,16777216,16384,1,200,200,0,3355443200,1338.328,2639871658.260329,2517.577799,2780573065.465684,3229464999.821946,1602.915000,499.680000,2102.595000,0.657061,3375697490,3375697490,123500,123500,2.012072,17.397558
