timestamp,benchmark,mode,payload_bytes,chunk_bytes,concurrency,rounds,success_rounds,failures,total_bytes,wall_time_ms,throughput_bytes_s_mean,throughput_mib_s_mean,throughput_bytes_s_p50,throughput_bytes_s_p95,cpu_user_ms,cpu_system_ms,cpu_total_ms,cpu_ms_per_mib,wire_tx_bytes,wire_rx_bytes,wire_tx_packets,wire_rx_packets,wire_bytes_per_app_byte,overhead_vs_single_pct
1771918011.501077688,tls_upload,single_tls,65536,1165536,1,200,200,0,13107200,100.998,229810586.639257,219.164454,258451248.560567,270328464.594049,79.999000,26.015000,106.014000,8.481120,13477913,13477913,3573,3573,2.056566,NaN
1771918011.501077688,tls_upload,single_tls,1048576,1165536,1,200,200,0,209715200,109.070,1965369288.451137,1874.322213,2062960492.792458,2154611170.700234,98.486000,38.924000,137.410000,0.687050,210784368,210784368,11934,11934,2.010196,NaN
1771918011.501077688,tls_upload,single_tls,16777216,1165536,1,200,200,0,3355443200,1145.426,3323674153.870125,3169.702677,3356424618.558466,4200892048.955775,888.272000,535.592000,1423.864000,0.444958,3367010013,3367010013,130187,130187,2.006894,NaN
1771918011.501077688,tls_upload,nested_tls,65536,1165536,1,200,200,0,13107200,114.792,192031027.905166,183.135059,202432176.139716,218191503.529098,52.911000,18.905000,71.816000,5.745280,13717046,13717046,4264,4264,2.093055,16.439434
1771918011.501077688,tls_upload,nested_tls,1048576,1165536,1,200,200,0,209715200,329.256,1117746415.680791,1065.966049,1100133769.088324,1778914813.375927,172.710000,51.649000,224.359000,1.121795,211356984,211356984,12692,12692,2.015657,43.127919
1771918011.501077688,tls_upload,nested_tls,16777216,1165536,1,200,200,0,3355443200,1243.720,2795336004.186638,2665.840153,2858996717.572524,3285205506.275823,1397.235000,445.810000,1843.045000,0.575952,3372059030,3372059030,114839,114839,2.009904,15.896208
