timestamp,benchmark,mode,payload_bytes,chunk_bytes,concurrency,rounds,success_rounds,failures,total_bytes,wall_time_ms,throughput_bytes_s_mean,throughput_mib_s_mean,throughput_bytes_s_p50,throughput_bytes_s_p95,cpu_user_ms,cpu_system_ms,cpu_total_ms,cpu_ms_per_mib,wire_tx_bytes,wire_rx_bytes,wire_tx_packets,wire_rx_packets,wire_bytes_per_app_byte,overhead_vs_single_pct
1771918274.850527195,tls_upload,single_tls,65536,16384,8,200,200,0,104857600,5511.268,197539986.091716,188.388811,12487642.476829,742138222.337980,857.889000,494.814000,1352.703000,13.527030,107789815,107789815,27940,27940,2.055928,NaN
1771918274.850527195,tls_upload,single_tls,1048576,16384,8,200,200,0,1677721600,1146.253,5181515369.912697,4941.478128,6049889944.409666,7178610182.139323,1346.170000,1115.965000,2462.135000,1.538834,1686213012,1686213012,94281,94281,2.010123,NaN
1771918274.850527195,tls_upload,single_tls,16777216,16384,8,200,200,0,26843545600,3371.912,9363438816.863951,8929.671113,9733314700.824591,11986141135.762806,11274.793000,10374.538000,21649.331000,0.845677,26931873133,26931873133,960601,960601,2.006581,NaN
1771918274.850527195,tls_upload,nested_tls,65536,16384,8,200,200,0,104857600,7658.158,37992736.630021,36.232697,12093092.324304,210339318.826823,1185.666000,2089.774000,3275.440000,32.754400,109891719,109891719,35075,35075,2.096018,80.767065
1771918274.850527195,tls_upload,nested_tls,1048576,16384,8,200,200,0,1677721600,1447.966,2522129101.290196,2405.289747,2553876401.706480,3922582769.008044,2904.288000,2146.344000,5050.632000,3.156645,1692573552,1692573552,102076,102076,2.017705,51.324489
1771918274.850527195,tls_upload,nested_tls,16777216,16384,8,200,200,0,26843545600,3902.527,7105059772.953052,6775.913022,7396973846.884459,8287885329.589499,23439.185000,11331.610000,34770.795000,1.358234,27007495267,27007495267,1021728,1021728,2.012215,24.119120
