timestamp,benchmark,mode,payload_bytes,chunk_bytes,concurrency,rounds,success_rounds,failures,total_bytes,wall_time_ms,throughput_bytes_s_mean,throughput_mib_s_mean,throughput_bytes_s_p50,throughput_bytes_s_p95,cpu_user_ms,cpu_system_ms,cpu_total_ms,cpu_ms_per_mib,wire_tx_bytes,wire_rx_bytes,wire_tx_packets,wire_rx_packets,wire_bytes_per_app_byte,overhead_vs_single_pct
1771920603.149445348,tls_upload,single_tls,65536,8388608,1,200,200,0,13107200,137.168,135824935.319380,129.532752,142651290.557101,158641323.818469,108.011000,32.953000,140.964000,11.277120,13476560,13476560,3547,3547,2.056360,NaN
1771920603.149445348,tls_upload,single_tls,1048576,8388608,1,200,200,0,209715200,150.943,1409332168.907657,1344.043893,1433322853.588857,1592285907.354962,122.686000,65.277000,187.963000,0.939815,210822068,210822068,12659,12659,2.010556,NaN
1771920603.149445348,tls_upload,single_tls,16777216,8388608,1,200,200,0,3355443200,1008.760,3755293592.382349,3581.327050,3629605447.475026,4932422535.915200,904.678000,492.025000,1396.703000,0.436470,3367320189,3367320189,137659,137659,2.007079,NaN
1771920603.149445348,tls_upload,nested_tls,65536,8388608,1,200,200,0,13107200,102.703,128597932.911789,122.640546,129379202.514303,144430682.704725,89.655000,15.999000,105.654000,8.452320,13720375,13720375,4328,4328,2.093563,5.320822
1771920603.149445348,tls_upload,nested_tls,1048576,8388608,1,200,200,0,209715200,1539.104,608761841.243904,580.560533,663803581.557410,1014113384.842884,277.155000,63.838000,340.993000,1.704965,211344192,211344192,12446,12446,2.015535,56.804942
1771920603.149445348,tls_upload,nested_tls,16777216,8388608,1,200,200,0,3355443200,1510.915,2471722440.683775,2357.218209,2522978781.956956,3200911514.452186,1765.035000,497.505000,2262.540000,0.707044,3372101579,3372101579,115916,115916,2.009929,34.180314
