timestamp,benchmark,mode,payload_bytes,chunk_bytes,concurrency,rounds,success_rounds,failures,total_bytes,wall_time_ms,throughput_bytes_s_mean,throughput_mib_s_mean,throughput_bytes_s_p50,throughput_bytes_s_p95,cpu_user_ms,cpu_system_ms,cpu_total_ms,cpu_ms_per_mib,wire_tx_bytes,wire_rx_bytes,wire_tx_packets,wire_rx_packets,wire_bytes_per_app_byte,overhead_vs_single_pct
1771919766.445673391,tls_upload,single_tls,65536,16384,4,200,200,0,52428800,2694.852,305676273.301296,291.515611,263600922.297538,689274004.191218,366.951000,176.706000,543.657000,10.873140,53891638,53891638,13907,13907,2.055803,NaN
1771919766.445673391,tls_upload,single_tls,1048576,16384,4,200,200,0,838860800,875.494,3841099747.118251,3663.158176,4139954675.026255,5504986153.220197,556.987000,340.949000,897.936000,1.122420,843075592,843075592,46546,46546,2.010049,NaN
1771919766.445673391,tls_upload,single_tls,16777216,16384,4,200,200,0,13421772800,3174.610,6455781731.893681,6156.713230,7409811701.914934,8114173467.787540,5704.023000,3906.913000,9610.936000,0.750854,13467415928,13467415928,508819,508819,2.006801,NaN
1771919766.445673391,tls_upload,nested_tls,65536,16384,4,200,200,0,52428800,6643.580,52537388.219910,50.103558,6175458.751797,234357413.292924,779.303000,301.933000,1081.236000,21.624720,54950986,54950986,17633,17633,2.096214,82.812736
1771919766.445673391,tls_upload,nested_tls,1048576,16384,4,200,200,0,838860800,1502.446,1886006094.069001,1798.635572,2090347917.528445,2805543255.344795,1291.780000,394.877000,1686.657000,2.108321,846300816,846300816,51308,51308,2.017738,50.899320
1771919766.445673391,tls_upload,nested_tls,16777216,16384,4,200,200,0,13421772800,3192.877,5044814634.100044,4811.110148,5038554793.990871,6456967446.557611,10494.096000,3828.786000,14322.882000,1.118975,13502708597,13502708597,484542,484542,2.012060,21.855867
