timestamp,benchmark,mode,payload_bytes,chunk_bytes,concurrency,rounds,success_rounds,failures,total_bytes,wall_time_ms,throughput_bytes_s_mean,throughput_mib_s_mean,throughput_bytes_s_p50,throughput_bytes_s_p95,cpu_user_ms,cpu_system_ms,cpu_total_ms,cpu_ms_per_mib,wire_tx_bytes,wire_rx_bytes,wire_tx_packets,wire_rx_packets,wire_bytes_per_app_byte,overhead_vs_single_pct
1771918101.369316383,tls_upload,single_tls,65536,1165536,8,200,200,0,104857600,177.323,743113570.890894,708.688327,754040313.243828,812318142.238721,834.062000,244.450000,1078.512000,10.785120,107793095,107793095,28003,28003,2.055990,NaN
1771918101.369316383,tls_upload,single_tls,1048576,1165536,8,200,200,0,1677721600,297.019,5707373111.944247,5442.975151,5800275610.668469,6333816565.187978,1663.809000,894.339000,2558.148000,1.598843,1686311032,1686311032,96166,96166,2.010239,NaN
1771918101.369316383,tls_upload,single_tls,16777216,1165536,8,200,200,0,26843545600,3106.345,9630798894.652216,9184.645552,9889783125.513214,12167672678.806261,13450.214000,8932.097000,22382.311000,0.874309,26932056917,26932056917,954203,954203,2.006595,NaN
1771918101.369316383,tls_upload,nested_tls,65536,1165536,8,200,200,0,104857600,2842.222,286872370.837474,273.582812,331871537.518863,537071372.815761,1517.441000,460.752000,1978.193000,19.781930,109776390,109776390,34882,34882,2.093818,61.395891
1771918101.369316383,tls_upload,nested_tls,1048576,1165536,8,200,200,0,1677721600,1855.206,2249430786.452222,2145.224368,2398586572.034016,3626223459.118029,2982.947000,2178.949000,5161.896000,3.226185,1690939956,1690939956,103153,103153,2.015758,60.587283
1771918101.369316383,tls_upload,nested_tls,16777216,1165536,8,200,200,0,26843545600,4113.710,6830560350.786284,6514.129973,7015438145.363154,8096545367.240227,23694.760000,11181.329000,34876.089000,1.362347,26980445834,26980445834,997017,997017,2.010200,29.075870
