timestamp,benchmark,workload,concurrency,ops,failures,wall_time_ms,throughput_ops_s,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,payload_bytes,iters_per_worker
1771607469.293465349,tdx_quote,tdx,1,200,0,7816.025,25.588456,39.078127,38.945500,40.276054,40.747678,41.100266,4096,200
1771607469.293465349,tdx_quote,tdx,2,400,0,15576.230,25.680155,77.684217,77.673534,81.223247,116.980972,117.512681,4096,200
1771607469.293465349,tdx_quote,tdx,4,800,0,31238.808,25.609172,154.950586,155.650969,200.288600,239.038997,272.946481,4096,200
1771607469.293465349,tdx_quote,tdx,8,1600,0,62698.077,25.519124,309.750878,351.501280,430.237199,469.886022,521.424592,4096,200
1771607469.293465349,tdx_quote,tdx,16,3200,0,125605.518,25.476588,612.494546,743.712889,899.543039,940.691495,1083.260480,4096,200
1771607469.293465349,tdx_quote,tdx,32,6400,0,252643.336,25.332154,1223.761350,1575.089848,1846.040885,1932.947181,2039.211778,4096,200
1771607469.293465349,tdx_quote,tdx,64,12800,0,508512.894,25.171436,2473.967401,3251.410873,3598.749287,3715.820444,3935.253313,4096,200
1771607469.293465349,tdx_quote,tdx,128,25600,0,1033559.951,24.768762,5020.951458,6807.241935,7311.142547,7586.949791,7971.501781,4096,200
