timestamp,benchmark,workload,concurrency,ops,failures,wall_time_ms,throughput_ops_s,mean_ms,p50_ms,p95_ms,p99_ms,max_ms,payload_bytes,iters_per_worker
1771832659.663339909,verify_dcap,verify,1,200,0,107.417,1861.894618,0.535832,0.508678,0.594898,1.105289,1.411380,4096,200
1771832659.663339909,verify_dcap,verify,2,400,0,169.658,2357.683949,0.840126,1.077338,1.165442,1.252644,1.569715,4096,200
1771832659.663339909,verify_dcap,verify,4,800,0,161.513,4953.147619,0.779936,0.784522,1.110619,1.542625,1.664040,4096,200
1771832659.663339909,verify_dcap,verify,8,1600,0,157.029,10189.187679,0.764122,0.785163,0.948017,1.285005,1.658210,4096,200
1771832659.663339909,verify_dcap,verify,16,3200,0,226.629,14119.984373,1.102779,1.071787,1.448038,1.503361,2.036295,4096,200
1771832659.663339909,verify_dcap,verify,32,6400,0,419.954,15239.758513,2.035360,1.680992,3.839575,4.971043,7.893669,4096,200
1771832659.663339909,verify_dcap,verify,64,12800,0,841.455,15211.748960,4.060241,3.193490,9.661954,13.760832,27.784364,4096,200
1771832659.663339909,verify_dcap,verify,128,25600,0,1704.605,15018.144509,8.196776,6.909555,19.116542,27.635977,49.532881,4096,200
